date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,start_order
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1961406,MATSUYAMA Hideki,Person,JPN,Japan,1.0,63,STROKES,,14
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1951723,SCHAUFFELE Xander,Person,USA,United States,2.0,65,STROKES,,46
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1935109,NIEMANN Joaquin,Person,CHI,Chile,3.0,66,STROKES,,6
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1937366,GRILLO Emiliano,Person,ARG,Argentina,3.0,66,STROKES,,7
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1572181,KIM Tom,Person,KOR,Korea,3.0,66,STROKES,,18
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1880177,NOREN Alex,Person,SWE,Sweden,6.0,67,STROKES,,8
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1939554,FOX Ryan,Person,NZL,New Zealand,6.0,67,STROKES,,9
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1923629,FLEETWOOD Tommy,Person,GBR,Great Britain,6.0,67,STROKES,,15
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1572603,STRAKA Sepp,Person,AUT,Austria,6.0,67,STROKES,,16
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1951724,SCHEFFLER Scottie,Person,USA,United States,6.0,67,STROKES,,19
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1905109,VALIMAKI Sami,Person,FIN,Finland,6.0,67,STROKES,,35
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1897777,van ROOYEN Erik,Person,RSA,South Africa,6.0,67,STROKES,,37
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1898582,RAHM Jon,Person,ESP,Spain,6.0,67,STROKES,,48
2024-08-01T19:30:00+02:00,GLFMSTROKE------------FNL-000100--,GLFMSTROKE,Men's Individual Stroke Play,Men's Individual Stroke Play Round 1,Round 1,M,Golf,GLF,Le Golf National,1892513,SCHMID Matthias,Person,GER,Germany,14.0,68,STROKES,,2
