date,stage_code,event_code,event_name,event_stage,stage,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,qualification_mark,start_order
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1946074,PALMER Keegan,Person,AUS,Australia,1.0,93.78,POINTS,Q,3
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1944247,SCHAAR Tom,Person,USA,United States,2.0,92.05,POINTS,Q,2
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1915620,SORGENTE Alex,Person,ITA,Italy,3.0,91.14,POINTS,Q,5
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1944221,CAREW Tate,Person,USA,United States,4.0,90.42,POINTS,Q,5
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1946073,WILSON Keefer,Person,AUS,Australia,5.0,90.10,POINTS,Q,4
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1955701,BARROS Pedro,Person,BRA,Brazil,6.0,89.24,POINTS,Q,1
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1955694,CINI Luigi,Person,BRA,Brazil,7.0,89.10,POINTS,Q,1
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1955669,AKIO Augusto,Person,BRA,Brazil,8.0,88.98,POINTS,Q,4
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1572578,WINBERG Hampus,Person,SWE,Sweden,9.0,88.29,POINTS,,3
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1944220,BOTTGER Gavin,Person,USA,United States,10.0,86.95,POINTS,,2
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1915619,MAZZARA Alessandro,Person,ITA,Italy,11.0,83.17,POINTS,,1
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1880283,MATHERON Vincent,Person,FRA,France,12.0,82.02,POINTS,,1
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1917709,AUGUSTO Thomas,Person,POR,Portugal,13.0,81.75,POINTS,,2
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1733666,PINEIRO Steven,Person,PUR,Puerto Rico,14.0,81.54,POINTS,,3
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1902064,NAGAHARA Yuro,Person,JPN,Japan,15.0,81.38,POINTS,,4
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1946075,WOOLLEY Kieran,Person,AUS,Australia,16.0,80.04,POINTS,,6
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1556834,EDTMAYER Tyler,Person,GER,Germany,17.0,78.20,POINTS,,6
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1544127,MACDONALD Andrew,Person,GBR,Great Britain,18.0,77.66,POINTS,,5
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1948381,KORTABITARTE Alain,Person,ESP,Spain,19.0,75.46,POINTS,,5
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1948383,LEON Danny,Person,ESP,Spain,20.0,56.25,POINTS,,2
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1879469,SOLMUNDE Viktor,Person,DEN,Denmark,21.0,42.95,POINTS,,4
2024-08-07T15:39:06+02:00,SKBMPARK--------------QUAL--------,SKBMPARK,Men's Park,Men's Park Prelims,Prelims,M,Skateboarding,SKB,La Concorde 4,1960231,OBERHOLZER Dallas,Person,RSA,South Africa,22.0,33.83,POINTS,,3
2024-08-07T18:23:30+02:00,SKBMPARK--------------FNL-000100--,SKBMPARK,Men's Park,Men's Park Final,Final,M,Skateboarding,SKB,La Concorde 4,1946074,PALMER Keegan,Person,AUS,Australia,1.0,93.11,POINTS,,8
2024-08-07T18:23:30+02:00,SKBMPARK--------------FNL-000100--,SKBMPARK,Men's Park,Men's Park Final,Final,M,Skateboarding,SKB,La Concorde 4,1944247,SCHAAR Tom,Person,USA,United States,2.0,92.23,POINTS,,7
2024-08-07T18:23:30+02:00,SKBMPARK--------------FNL-000100--,SKBMPARK,Men's Park,Men's Park Final,Final,M,Skateboarding,SKB,La Concorde 4,1955669,AKIO Augusto,Person,BRA,Brazil,3.0,91.85,POINTS,,1
2024-08-07T18:23:30+02:00,SKBMPARK--------------FNL-000100--,SKBMPARK,Men's Park,Men's Park Final,Final,M,Skateboarding,SKB,La Concorde 4,1955701,BARROS Pedro,Person,BRA,Brazil,4.0,91.65,POINTS,,3
2024-08-07T18:23:30+02:00,SKBMPARK--------------FNL-000100--,SKBMPARK,Men's Park,Men's Park Final,Final,M,Skateboarding,SKB,La Concorde 4,1944221,CAREW Tate,Person,USA,United States,5.0,91.17,POINTS,,5
2024-08-07T18:23:30+02:00,SKBMPARK--------------FNL-000100--,SKBMPARK,Men's Park,Men's Park Final,Final,M,Skateboarding,SKB,La Concorde 4,1915620,SORGENTE Alex,Person,ITA,Italy,6.0,84.26,POINTS,,6
